[["40c"],0] NaN
[[37,1],0] 1
[[32,4],0] 0
[[32,3,2],0] 0
[[32,1,1,1],0] 0
[[32,1],0] 0
[[31,7],0] 1
[[31,3,1],0] 1
[[31,2,1,1],0] 2
[[31,2],0] 2
[[29,9],0] 1
[[29,5,1,1],0] 1
[[29,5],0] 1
[[28,5,4],0] 0
[[28,5,1],0] 0
[[26,10],0] 0
[[26,8,3],0] 0
[[26,7,1,1],0] 2
[[26,7],0] 2
[[26,6,4],0] 0
[[26,6,1,1,1],0] 0
[[26,6,1],0] 0
[[26,4,4,2],0] 0
[[26,4,3,1,1],0] 0
[[26,4,3],0] 0
[[26,4,2,1],0] 0
[[26,3,3,2],0] 0
[[26,3,2,2,1],0] 0
[[26,3,1,1,1],0] 2
[[26,3,1],0] 2
[[26,2,2,2,1,1],0] 0
[[26,2,2,2],0] 0
[[26,2,1,1,1,1],0] 0
[[26,2,1,1],0] 0
[[26,2],0] 0
[[25,13],0] 1
[[25,9,1],0] 1
[[25,8,1,1],0] 0
[[25,8],0] 0
[[25,7,3],0] 1
[[25,7,2,1],0] 2
[[25,6,3,1],0] 2
[[25,6,2,1,1],0] 0
[[25,6,2],0] 0
[[25,5,5,1],0] 1
[[25,4,3,3],0] 0
[[25,4,3,2,1],0] 0
[[25,4,2,2],0] 0
[[25,3,3,1,1,1],0] 1
[[25,3,3,1],0] 1
[[25,3,2,2,2],0] 0
[[25,3,2,1,1],0] 2
[[25,3,2],0] 2
[[25,2,2,2,2,1],0] 0
[[25,2,2,1,1,1],0] 0
[[25,2,2,1],0] 0
[[24,12],0] 0
[[24,11,2],0] 0
[[24,9,1,1],0] 0
[[24,9],0] 0
[[24,5,4,1],0] 0
[[24,5,3,3],0] 0
[[24,5,3,2,1],0] 0
[[24,5,2,2],0] 0
[[24,5,1,1,1,1],0] 0
[[24,5,1,1],0] 0
[[24,5],0] 0
[[23,15],0] 1
[[23,11,1],0] 1
[[23,9,3],0] 1
[[23,9,2,1],0] 2
[[23,7,5,1],0] 1
[[23,6,5],0] 2
[[23,5,4,2],0] 0
[[23,5,3,2,2],0] 0
[[23,5,3,1,1],0] 1
[[23,5,3],0] 1
[[23,5,2,1,1,1],0] 2
[[23,5,2,1],0] 2
[[22,12,2],0] 0
[[22,11,1,1],0] 2
[[22,11],0] 2
[[22,10,5],0] 0
[[22,9,3,1],0] 2
[[22,9,2,1,1],0] 0
[[22,9,2],0] 0
[[22,7,5],0] 2
[[22,6,5,1],0] 0
[[22,5,4,3],0] 0
[[22,5,4,2,1],0] 0
[[22,5,3,3,2],0] 0
[[22,5,3,1,1,1],0] 2
[[22,5,3,1],0] 2
[[22,5,2,2,2],0] 0
[[22,5,2,1,1,1,1],0] 0
[[22,5,2,1,1],0] 0
[[22,5,2],0] 0
[[21,17],0] 1
[[21,12,1,1],0] 0
[[21,12],0] 0
[[21,11,3,1],0] 1
[[21,11,2],0] 2
[[21,9,4,1],0] 0
[[21,9,3,3],0] 1
[[21,9,2,2],0] 0
[[21,9,1,1,1,1],0] 1
[[21,9,1,1],0] 1
[[21,9],0] 1
[[21,8,5,1],0] 0
[[21,7,5,2],0] 2
[[21,6,5,3],0] 2
[[21,6,5,2,1],0] 0
[[21,5,5,5],0] 1
[[21,5,4,4],0] 0
[[21,5,4,3,2],0] 0
[[21,5,4,1,1,1],0] 0
[[21,5,4,1],0] 0
[[21,5,3,3,1,1],0] 1
[[21,5,3,3],0] 1
[[21,5,3,2,1],0] 2
[[21,5,2,2,2,2],0] 0
[[21,5,2,2,1,1],0] 0
[[21,5,2,2],0] 0
[[21,5,1,1,1,1,1,1],0] 1
[[21,5,1,1,1,1],0] 1
[[21,5,1,1],0] 1
[[21,5],0] 1
[[20,16],0] 0
[[20,14,3],0] 0
[[20,13,1,1],0] 0
[[20,13],0] 0
[[20,10,6],0] 0
[[20,10,4,2],0] 0
[[20,10,3,1,1],0] 0
[[20,10,3],0] 0
[[20,10,2,1],0] 0
[[20,9,5,1],0] 0
[[20,8,4,4],0] 0
[[20,8,4,1],0] 0
[[20,8,3,3],0] 0
[[20,8,3,2,1],0] 0
[[20,8,2,2,1,1],0] 0
[[20,8,2,2],0] 0
[[20,8,1,1,1,1],0] 0
[[20,8,1,1],0] 0
[[20,8],0] 0
[[20,7,7,1],0] 0
[[20,7,6,1,1],0] 0
[[20,7,6],0] 0
[[20,7,4,3,1],0] 0
[[20,7,4,2],0] 0
[[20,7,3,2,2],0] 0
[[20,7,3,1,1],0] 0
[[20,7,3],0] 0
[[20,7,2,2,2,1],0] 0
[[20,7,2,1,1,1],0] 0
[[20,7,2,1],0] 0
[[20,6,6,4],0] 0
[[20,6,6,1],0] 0
[[20,6,4,3],0] 0
[[20,6,4,2,1],0] 0
[[20,6,3,3,2],0] 0
[[20,6,3,2,2,1],0] 0
[[20,6,3,1,1,1],0] 0
[[20,6,3,1],0] 0
[[20,6,2,2,2],0] 0
[[20,6,2,1,1,1,1],0] 0
[[20,6,2,1,1],0] 0
[[20,6,2],0] 0
[[20,5,5,4],0] 0
[[20,5,5,3,2],0] 0
[[20,5,5,1,1,1],0] 0
[[20,5,5,1],0] 0
[[20,4,4,4,1],0] 0
[[20,4,4,3,2],0] 0
[[20,4,4,2,2,1],0] 0
[[20,4,4,1,1,1,1],0] 0
[[20,4,4,1,1],0] 0
[[20,4,4],0] 0
[[20,4,3,3,2,2],0] 0
[[20,4,3,3,1,1],0] 0
[[20,4,3,3],0] 0
[[20,4,3,2,1,1,1],0] 0
[[20,4,3,2,1],0] 0
[[20,4,2,2,2,2],0] 0
[[20,4,2,2,1,1,1,1],0] 0
[[20,4,2,2,1,1],0] 0
[[20,4,2,2],0] 0
[[20,4,1,1,1,1,1,1,1],0] 0
[[20,4,1,1,1,1,1],0] 0
[[20,4,1,1,1],0] 0
[[20,4,1],0] 0
[[20,3,3,3,3,1],0] 0
[[20,3,3,3,2,1,1],0] 0
[[20,3,3,3,2],0] 0
[[20,3,3,2,2,1],0] 0
[[20,3,3,1,1,1,1,1],0] 0
[[20,3,3,1,1,1],0] 0
[[20,3,3,1],0] 0
[[20,3,2,2,2,2,2],0] 0
[[20,3,2,2,2,1,1],0] 0
[[20,3,2,2,2],0] 0
[[20,3,2,1,1,1,1,1,1],0] 0
[[20,3,2,1,1,1,1],0] 0
[[20,3,2,1,1],0] 0
[[20,3,2],0] 0
[[20,2,2,2,2,1,1,1],0] 0
[[20,2,2,2,2,1],0] 0
[[20,2,2,1,1,1,1,1],0] 0
[[20,2,2,1,1,1],0] 0
[[20,2,2,1],0] 0
[[20,1,1,1,1,1,1,1,1],0] 0
[[20,1,1,1,1,1,1],0] 0
[[20,1,1,1,1],0] 0
[[20,1,1],0] 0
[[20],0] 0
[[19,19],0] 1
[[19,14,1,1],0] 2
[[19,14],0] 2
[[19,13,3],0] 1
[[19,13,2,1],0] 2
[[19,11,5],0] 1
[[19,10,4,1],0] 0
[[19,10,3,3],0] 2
[[19,10,3,2,1],0] 0
[[19,10,2,2],0] 0
[[19,10,1,1,1,1],0] 2
[[19,10,1,1],0] 2
[[19,10],0] 2
[[19,9,5,2],0] 2
[[19,8,7,1],0] 0
[[19,8,6,1,1],0] 0
[[19,8,6],0] 0
[[19,8,4,3,1],0] 0
[[19,8,4,2],0] 0
[[19,8,3,2,2],0] 0
[[19,8,3,1,1],0] 0
[[19,8,3],0] 0
[[19,8,2,2,2,1],0] 0
[[19,8,2,1,1,1],0] 0
[[19,8,2,1],0] 0
[[19,7,7,2],0] 2
[[19,7,6,3],0] 2
[[19,7,6,2,1],0] 0
[[19,7,5,5],0] 1
[[19,7,4,4],0] 0
[[19,7,4,3,2],0] 0
[[19,7,4,1,1,1],0] 0
[[19,7,4,1],0] 0
[[19,7,3,3,1,1],0] 1
[[19,7,3,3],0] 1
[[19,7,3,2,1],0] 2
[[19,7,2,2,2,2],0] 0
[[19,7,2,2,1,1],0] 0
[[19,7,2,2],0] 0
[[19,7,1,1,1,1,1,1],0] 1
[[19,7,1,1,1,1],0] 1
[[19,7,1,1],0] 1
[[19,7],0] 1
[[19,6,6,3,1],0] 0
[[19,6,6,2],0] 0
[[19,6,4,4,1],0] 0
[[19,6,4,3,3],0] 0
[[19,6,4,2,2],0] 0
[[19,6,4,1,1,1,1],0] 0
[[19,6,4,1,1],0] 0
[[19,6,4],0] 0
[[19,6,3,3,1],0] 2
[[19,6,3,2,2,2],0] 0
[[19,6,3,2,1,1],0] 0
[[19,6,3,2],0] 0
[[19,6,2,2,1,1,1],0] 0
[[19,6,2,2,1],0] 0
[[19,6,1,1,1,1,1],0] 2
[[19,6,1,1,1],0] 2
[[19,6,1],0] 2
[[19,5,5,3,1],0] 1
[[19,5,5,2,1,1],0] 2
[[19,5,5,2],0] 2
[[19,4,4,4,3],0] 0
[[19,4,4,4,2,1],0] 0
[[19,4,4,3,1,1,1],0] 0
[[19,4,4,3,1],0] 0
[[19,4,4,2,2,2],0] 0
[[19,4,4,2,1,1],0] 0
[[19,4,4,2],0] 0
[[19,4,3,3,3],0] 0
[[19,4,3,3,2,1],0] 0
[[19,4,3,2,2,1,1],0] 0
[[19,4,3,2,2],0] 0
[[19,4,3,1,1,1,1],0] 0
[[19,4,3,1,1],0] 0
[[19,4,3],0] 0
[[19,4,2,2,2,1,1,1],0] 0
[[19,4,2,2,2,1],0] 0
[[19,4,2,1,1,1,1,1],0] 0
[[19,4,2,1,1,1],0] 0
[[19,4,2,1],0] 0
[[19,3,3,3,3,2],0] 2
[[19,3,3,3,2,2,1],0] 0
[[19,3,3,3,1,1,1],0] 1
[[19,3,3,3,1],0] 1
[[19,3,3,2,2,2],0] 0
[[19,3,3,2,1,1,1,1],0] 2
[[19,3,3,2,1,1],0] 2
[[19,3,3,2],0] 2
[[19,3,2,2,2,2,1],0] 0
[[19,3,2,2,1,1,1,1,1],0] 0
[[19,3,2,2,1,1,1],0] 0
[[19,3,2,2,1],0] 0
[[19,3,1,1,1,1,1,1,1],0] 1
[[19,3,1,1,1,1,1],0] 1
